Controversy ID,Round,Video Link,Brief Description of Controversy,DREF1,DATTTOT,DPART,DFPART,DRECI,DSYMM,DPOWER,DPSOUR,DCOOP,DCONFL,DUNCIV,DFOCUS,DATMO,DDECMOD,DDECOUT,DORIGIN,DPRESS,DDECORI,DMODERA,DMODDIS
1,1,https://www.youtube.com/watch?v=aRqDc1r7NjQ,A conflict among members about how to get more events going ,4,10,4,2,2,3,3,0,4,2,2,2,2,1,1,1,2,1,2,1
2,1,https://www.youtube.com/watch?v=5KTANaT_lEM,"Controversy over how proposals should be managed (through gmail, sandbox, or otherwise)",1,15,12,7,3,1,1,3,4,3,2,2,3,2,2,5,1,1,1,3
3,1,https://www.youtube.com/watch?v=a-yTHSRMaXY,"Debate about whether or not to occupy public area, and dangers of doing so",4,10,3,1,1,2,3,1,2,1,1,2,1,2,5,5,1,0,1,3
4,1,https://www.youtube.com/watch?v=cMCxnU0BnOA,deciding whether to recap the previous night's meeting minutes in order to prepare an agenda,1,60,7,3,1,2,2,4,3,2,2,2,3,1,3,2,2,2,1,2
5,1,https://www.youtube.com/watch?v=lPmwLrsmY5c&t=624s,External Group Action ,4,15,6,3,2,2,2,4,3,5,2,2,2,1,1,4,3,1,1,3
6,1,https://www.youtube.com/watch?v=R-O_8cL4R0s,External Group Action (moving forward),4,20,7,4,3,2,3,4,2,5,2,2,2,2,7,4,2,2,1,2
7,1,http://www.youtube.com/watch?v=FRPBzxfiAis,"Following a secret meeting, members were verbally attacked death threats were made. The group convened to discuss the secret meeting, derogatory remarks made by members during the secret meeting, and the aftermath of it. It essentially becomes a hostile environment in which members are yelling at each other.",6,50,15,8,1,1,2,3,3,4,3,3,3,1,1,1,1,0,2,2
8,1,https://www.youtube.com/watch?v=uvZyOUSfnGI,moving towards a decision about where to occupy,4,,7,2,2,4,4,0,1,1,0,1,1,1,2,1,1,2,2,2
9,1,https://www.youtube.com/watch?v=uvZyOUSfnGI,What should Occupy Norfolk do now that the police have raided their camp? Should they establish a new occupation? Sub: Private or public property?,4,40,23,12,3,4,3,5,1,5,0,3,1,3,3,4,3,2,1,2
10,1,https://www.youtube.com/watch?v=Dhtt375UYo0,shoud donations to a local radio station be made out in the name of occupy,5,30,10,5,2,4,4,0,2,1,0,3,1,3,6,5,1,2,1,1
11,1,https://www.youtube.com/watch?v=Dhtt375UYo0,should a committee be formed to articulate the peaceful and otherwise principles of the group,2,30,9,4,2,4,4,0,3,2,0,3,1,3,1,3,1,2,1,1
12,1,https://www.youtube.com/watch?v=Dhtt375UYo0,"Should the time limit for speaking be 2 minutes? Or should it be for a variable time (e.g. ""2 or 3 minutes"") rather than a hard limit?",1,30,11,4,3,4,4,0,2,3,0,3,1,4,7,4,1,2,2,1
13,1,https://www.youtube.com/watch?v=K0gmJw03D7c,"The group is debating how to attract new members, or if it is even necessary to do so, as well as how that relates to facilitating and setting agenda.",2,10,5,2,1,2,2,1,3,3,2,1,2,1,1,4,1,1,1,3
14,1,https://www.youtube.com/watch?v=lUN0-vZZmu0,setlling on what time the meeting will end,1,60,12,2,2,3,4,0,2,1,1,2,2,3,6,2,1,2,1,2
15,1,https://www.youtube.com/watch?v=mTflgVN1KcQ,same as before,1,30,3,2,1,3,4,0,2,3,0,3,2,2,7,4,1,2,1,1
16,1,https://www.youtube.com/watch?v=QddGgVPr1TI,The Richmond GA was trying to decide if the potluck version of GA's that they were planning should have formal moderation or not.,1,12,4,0,3,1,4,0,1,3,0,3,1,2,7,3,1,0,2,1
17,1,https://www.youtube.com/watch?v=QddGgVPr1TI,The Richmond GA was trying to decide whether or not they could make a decision to restructure how GA's would happen from hence forth or whether they had to wait to make the decision at a meeting with more people present,1,13,6,1,3,1,4,0,1,3,0,3,1,3,7,3,1,1,2,1
18,1,https://www.youtube.com/watch?v=Rbpj0nc7v5I,"The debate surrounded whether or not the group should endorse an outside coalitions event and how the support should be worded: specifically, to include or not to include the phrase last bit a phrase that specified, ""all over the world.""",4,20,3,1,1,2,3,4,3,2,3,2,2,4,7,3,1,2,1,2
19,1,https://www.youtube.com/watch?v=WeEalt3KBf4,Occupy Springfield (WA) deliberates on a secondary location in case the city ejects them from their preferred location.,4,40,13,6,3,4,4,0,1,4,0,3,1,2,5,3,1,2,1,1
20,1,https://www.youtube.com/watch?v=vbajM7C0Y8U,Some members of the group want to be part of a flash mob but do not who to contact,1,25,6,2,1,2,2,4,3,2,1,3,2,1,2,5,2,1,1,3
21,1,https://www.youtube.com/watch?v=vhpyzy39_6o,One member opens discussion for a first draft of a future proposal involving the creation of a working group and web platform to facilitate communication between existing working groups.,1,14,10,4,3,4,3,4,2,3,0,3,2,1,1,5,1,1,2,3
22,1,https://www.youtube.com/watch?v=rakfHcpyFj4,Occupy Temecula informally discusses how individuals should address interactions with Ron Paul protesters stationed on the same street corner. ,5,20,9,3,2,3,4,0,2,4,0,2,1,1,1,5,2,1,1,1
23,1, https://www.youtube.com/watch?v=CibiVami3Bg ,,1,20,12,3,1,3,2,3,4,5,3,1,3,4,6,3,2,1,2,3
1,2,,A conflict among members about how to get more events going ,4,10,4,2,3,2,2,1,2,2,2,2,2,1,1,1,1,1,2,3
2,2,https://www.youtube.com/watch?v=5KTANaT_lEM,"Internal Structure and Process, including sandbox and general assembly processes",2,15,8,5,2,1,2,4,4,5,3,1,3,1,2,4,2,1,1,3
3,2,,"Debate about whether or not to occupy public area, and dangers of doing so",4,10,3,1,2,2,2,1,2,1,1,2,2,2,5,5,1,1,2,3
4,2,https://www.youtube.com/watch?v=cMCxnU0BnOA,Should we go forward with a report back on last night's delegates meeting? Can this be done before we have an agenda? Are facilitators setting the agenda? ,1,60,14,4,1,2,2,3,4,4,3,1,3,2,4,5,2,0,1,3
5,2,https://www.youtube.com/watch?v=lPmwLrsmY5c&t=624s,Proposal to respond to recent news stories about (fake?) occupy participants that acted against Occupy LA's principles,4,13,6,5,3,4,3,4,2,1,0,2,1,1,1,5,1,2,2,2
6,2,https://www.youtube.com/watch?v=R-O_8cL4R0s,Occupy LA discusses endorsing an anti-war in Syria group,4,20,9,4,2,3,3,3,2,3,1,2,2,5,6,5,1,2,2,2
7,2,http://www.youtube.com/watch?v=FRPBzxfiAis,Same as before,1,30,14,6,1,1,4,0,3,2,3,1,3,1,1,3,2,0,1,1
8,2,https://www.youtube.com/watch?v=uvZyOUSfnGI,What should the GA participants do tonight? Which specific location should they occupy?,4,40,7,2,2,4,2,5,1,1,0,3,1,2,2,4,3,2,1,3
9,2,https://www.youtube.com/watch?v=uvZyOUSfnGI,,4,,13,8,3,4,4,3,1,1,0,2,1,1,1,3,1,2,1,1
10,2,https://www.youtube.com/watch?v=Dhtt375UYo0,Should it be okay to put Occupy Saint Lous name next to an individual donation to KDHX?,4,30,13,5,3,4,4,0,2,3,0,3,1,4,6,5,1,2,2,1
11,2,https://www.youtube.com/watch?v=Dhtt375UYo0,"Should Occupy Saint Louis put together a committee to define principles about how to be a peaceful organization (e.g. etiquette, avoiding a mob mentality, violence, etc.)?",2,30,12,4,3,1,4,0,3,3,0,3,3,4,2,5,1,2,2,2
12,2,https://www.youtube.com/watch?v=Dhtt375UYo0,time limit of speaker,1,,8,3,3,4,4,0,2,1,0,3,1,3,7,5,1,2,1,2
13,2,,"The group is debating how to attract new members, or if it is even necessary to do so, as well as how that relates to facilitating and setting agenda.",2,10,5,2,3,2,2,1,2,2,2,2,2,1,1,5,1,1,2,3
14,2,https://www.youtube.com/watch?v=lUN0-vZZmu0,What time should the meeting end? Subs: Can this be decided without an agenda yet defined? Should there even be a fixed ending time?,1,60,24,2,1,2,2,4,4,5,2,2,2,3,6,3,2,2,1,3
15,2,https://www.youtube.com/watch?v=mTflgVN1KcQ,Someone proposed to distribute agreements and agenda each week for new members. Someone else blocked it because too much paper,1,30,3,2,3,3,4,0,1,5,0,3,2,2,5,5,1,2,2,1
16,2,https://www.youtube.com/watch?v=QddGgVPr1TI,The Richmond GA was trying to decide if the potluck version of GA's that they were planning should have formal moderation or not.,1,11,3,0,3,4,1,0,1,5,0,3,1,2,4,4,1,1,2,1
17,2,https://www.youtube.com/watch?v=QddGgVPr1TI,The Richmond GA was trying to decide whether or not they could make a decision to restructure how GA's would happen from hence forth or whether they had to wait to make the decision at a meeting with more people present,2,11,6,1,3,4,4,0,1,5,0,3,2,2,2,4,2,2,2,2
18,2,https://www.youtube.com/watch?v=Rbpj0nc7v5I,"The debate surrounded whether or not the group should endorse an outside coalitions event and how the support should be worded: specifically, to include or not to include the phrase last bit a phrase that specified, ""all over the world.""",9,20,6,2,2,1,2,1,4,2,2,2,3,1,1,4,2,1,1,3
19,2,https://www.youtube.com/watch?v=WeEalt3KBf4,Proposal to select location,4,40,13,5,3,3,3,0,2,4,0,3,1,4,7,3,2,2,1,3
20,2,,Some members of the group want to be part of a flash mob but do not who to contact,1,25,6,2,2,2,2,4,2,2,2,2,2,1,1,5,1,1,2,3
21,2,https://www.youtube.com/watch?v=vhpyzy39_6o,"Discussion for a first draft of a future proposal involving the creation of a working group and web platform on Google drive, to facilitate communication between existing working groups.",1,20,18,8,3,3,3,0,2,5,0,3,1,1,4,3,2,2,2,2
22,2,https://www.youtube.com/watch?v=rakfHcpyFj4,Occupy Temecula informally discusses how individuals should address interactions with Ron Paul protesters stationed on the same street corner. ,4,15,9,2,3,3,4,0,1,5,0,3,1,1,1,4,2,2,2,2
23,2,https://www.youtube.com/watch?v=CibiVami3Bg,People are discussing the fight that broke out between between members. They debate about what should and should not be talked about. One person involved was permanently banned and others were not. The issue evolves into a talk about various other issues at the camp. ,1,25,13,3,3,1,2,3,3,4,3,1,3,4,6,3,2,0,2,3
