Controversy ID,Round,DPART,DFPART,DRECI,DSYMM,DPOWER,DPSOUR,DCOOP,DCONFL,DUNCIV,DFOCUS,DATMO,DDECMOD,DDECOUT,DORIGIN,DPRESS,DDECORI,DMODERA,DMODDIS
1,1,4,2,2,3,3,0,,2,2,2,2,1,1,1,2,1,2,1
2,1,8,5,2,1,2,4,4,5,3,1,3,1,2,4,2,1,1,3
3,1,3,1,1,2,3,1,2,1,1,2,1,2,5,5,1,0,1,3
4,1,14,4,1,2,2,3,4,4,3,1,3,2,4,5,2,0,1,3
5,1,6,3,2,2,2,4,3,5,2,2,2,1,1,4,3,1,1,3
6,1,7,4,3,2,3,4,2,5,2,2,2,2,7,4,2,2,1,2
7,1,15,8,1,1,2,3,3,4,3,3,3,1,1,1,1,0,2,2
8,1,7,2,2,4,2,5,1,1,0,3,1,2,2,4,3,2,1,3
9,1,23,12,3,4,3,5,1,5,0,3,1,3,3,4,3,2,1,2
10,1,13,5,3,4,4,0,2,3,0,3,1,4,6,5,1,2,2,1
11,1,12,4,3,1,4,0,3,3,0,3,3,4,2,5,1,2,2,2
12,1,11,4,3,4,4,0,2,3,0,3,1,4,7,4,1,2,2,1
13,1,5,2,1,2,2,1,3,3,2,1,2,1,1,4,1,1,1,3
14,1,24,2,1,2,2,4,4,5,2,2,2,3,6,3,2,2,1,3
15,1,3,2,3,3,4,0,1,5,0,3,2,2,5,5,1,2,2,1
16,1,4,0,3,1,4,0,1,3,0,3,1,2,7,3,1,0,2,1
17,1,6,1,3,1,4,0,1,3,0,3,1,3,7,3,1,1,2,1
18,1,3,1,1,2,3,4,3,2,3,2,2,4,7,3,1,2,1,2
19,1,13,5,3,3,3,0,2,4,0,3,1,4,7,3,2,2,1,3
20,1,6,2,1,,2,4,3,2,1,3,2,1,2,5,2,1,1,3
21,1,10,4,3,4,3,4,2,3,0,3,2,1,1,5,1,1,2,3
22,1,9,3,2,3,4,0,2,4,0,2,1,1,1,5,2,1,1,1
23,1,12,3,1,3,2,3,,5,3,1,3,4,6,3,2,1,2,3
1,2,4,2,3,2,2,1,2,2,2,2,2,1,1,1,1,1,2,3
2,2,12,7,3,1,1,3,4,3,2,2,3,2,2,5,1,1,1,3
3,2,3,1,2,2,2,1,2,1,1,2,2,2,5,5,1,1,2,3
4,2,7,3,1,2,2,4,3,2,2,2,3,1,3,2,2,2,1,2
5,2,6,5,3,4,3,4,2,1,0,2,1,1,1,5,1,2,2,2
6,2,9,4,2,3,3,3,2,3,1,2,2,5,6,5,1,2,2,2
7,2,14,6,1,1,4,0,3,2,3,1,3,1,1,3,2,0,1,1
8,2,7,2,2,4,4,0,1,1,0,1,1,1,2,1,1,2,2,2
9,2,13,8,3,4,4,3,1,1,0,2,1,1,1,3,1,2,1,1
10,2,10,5,2,4,4,0,2,1,0,3,1,3,6,5,1,2,1,1
11,2,9,4,2,4,4,0,3,2,0,3,1,3,1,3,1,2,,1
12,2,8,3,3,4,4,0,2,1,0,3,1,3,7,5,1,2,1,2
13,2,5,2,3,2,2,1,2,2,2,2,2,1,1,5,1,1,2,3
14,2,12,2,2,3,4,0,2,1,1,2,2,3,6,2,1,2,1,2
15,2,3,2,1,3,4,0,2,3,0,3,2,2,7,4,1,2,1,1
16,2,3,0,3,4,1,0,1,5,0,3,1,2,4,4,1,1,2,1
17,2,6,1,3,4,4,0,1,5,0,3,2,2,2,4,2,2,2,2
18,2,6,2,2,1,2,1,4,2,2,2,3,1,1,4,2,1,1,3
19,2,13,6,3,4,4,0,1,4,0,3,1,2,5,3,1,2,1,1
20,2,6,2,2,2,2,4,2,2,2,2,2,1,1,5,1,1,2,3
21,2,18,8,3,3,3,0,2,5,0,3,1,1,4,3,2,2,2,2
22,2,9,2,3,3,4,0,1,5,0,3,1,1,1,4,2,2,2,2
23,2,13,3,3,1,2,3,3,4,3,1,3,4,6,3,2,0,2,3
